COMMAND;POSITION CE16 (mm);POSITION MLT (pts)
661,210526315507;0;0
655,421052631266;0;0
649,684210526175;0;0
643,947368421083;0;0
638,157894736842;0;0
632,421052630984;0;0
626,684210525893;0;0
620,894736841652;0;0
615,15789473656;0;0
608,578947368139;0;0
602,789473683898;0;0
597,052631578807;0;0
591,315789473715;0;0
585,526315789473;0;0
579,789473683616;0;0
574,052631578525;0;0
568,263157894284;0;0
562,526315789191;0;0
556,73684210495;0;0
550,999999999859;0;0
544,421052631438;0;0
537,842105263016;0;0
531,263157894596;0;0
525,526315789504;0;0
519,736842105263;0;0
513,999999999405;0;0
508,263157894314;0;0
501,684210525893;0;0
504,105263158348;0;0
509,84210526344;0;0
515,631578947681;0;0
521,368421052773;0;0
527,105263157864;0;0
532,894736842105;0;0
538,631578947963;0;0
544,368421053055;0;0
550,157894737295;0;0
555,894736842387;0;0
561,684210526629;0;0
567,42105263172;0;0
573,157894736812;0;0
578,947368421052;0;0
584,684210526911;0;0
590,421052632002;0;0
596,210526316243;0;0
601,947368421334;0;0
607,736842105576;0;0
613,473684210668;0;0
619,210526315759;0;0
625;0;0
630,736842105857;0;0
636,47368421095;0;0
642,26315789519;0;0
648,000000000282;0;0
653,789473684523;0;0
659,526315789614;0;0
665,263157894707;0;0
671,052631578948;0;0
677,631578947368;0;0
683,368421053226;0;0
689,105263158318;0;0
694,894736842559;0;0
700,63157894765;0;0
706,421052631891;0;0
712,157894736984;0;0
717,894736842075;0;0
723,684210526316;0;0
729,421052632173;0;0
735,157894737265;0;0
740,947368421506;0;0
746,684210526598;0;0
752,473684210839;0;0
758,21052631593;0;0
763,947368421022;0;0
769,736842105263;0;0
775,473684211121;0;0
781,210526316212;0;0
787,789473684634;0;0
794,368421053055;0;0
800,157894737295;0;0
805,894736842387;0;0
811,684210526629;0;0
817,42105263172;0;0
823,157894736812;0;0
828,947368421052;0;0
834,684210526911;0;0
840,421052632002;0;0
846,210526316243;0;0
851,947368421334;0;0
857,736842105575;0;0
863,473684210668;0;0
869,210526315759;0;0
875;0;0
880,736842105857;0;0
886,47368421095;0;0
892,26315789519;0;0
898,000000000282;0;0
903,789473684523;0;0
909,526315789614;0;0
915,263157894707;0;0
921,052631578948;0;0
926,789473684805;0;0
932,526315789896;0;0
939,105263158318;0;0
944,894736842559;0;0
951,47368421098;0;0
958,0526315794;0;0
964,631578947822;0;0
970,368421052914;0;0
976,157894737154;0;0
981,894736842246;0;0
987,631578947338;0;0
993,421052631579;0;0
999,157894737436;0;0
1004,89473684253;0;0
1010,68421052677;0;0
1016,42105263186;0;0
1022,2105263161;0;0
1027,94736842119;0;0
1033,68421052628;0;0
1039,47368421053;0;0
1045,21052631638;0;0
1050,94736842148;0;0
1056,73684210572;0;0
1062,47368421081;0;0
1068,26315789505;0;0
1074,00000000014;0;0
1079,73684210523;0;0
1085,52631578947;0;0
1091,26315789533;0;0
1097,00000000042;0;0
1102,78947368466;0;0
1108,52631578976;0;0
1114,315789474;0;0
1120,05263157909;0;0
1125,78947368418;0;0
1131,57894736842;0;0
1137,31578947428;0;0
1143,05263157937;0;0
1148,84210526361;0;0
1154,5789473687;0;0
1160,36842105294;0;0
1166,10526315804;0;0
1171,84210526313;0;0
1177,63157894737;0;0
1183,36842105323;0;0
1189,10526315832;0;0
1194,89473684256;0;0
1200,63157894765;0;0
1206,42105263189;0;0
1212,15789473698;0;0
1217,89473684207;0;0
1223,68421052632;0;0
1229,42105263217;0;0
1235,15789473726;0;0
1240,94736842151;0;0
1246,6842105266;0;0
1252,47368421084;0;0
1259,05263157926;0;0
1264,78947368435;0;0
